client_id	path	sentence	up_votes	down_votes	age	gender	accents	variant	locale	segment
71d864954aa24644c30aaed4ceefeb51beb9a174d1eeeae09edf54b9f008b5dca585159f659e564acf1c020bde407b99d078de06a8ba2c3674a5049931243100	common_voice_zh-TW_37952977.mp3	參與者要進入會場了	2	0	thirties	male	出生地：新北市		zh-TW	
71d864954aa24644c30aaed4ceefeb51beb9a174d1eeeae09edf54b9f008b5dca585159f659e564acf1c020bde407b99d078de06a8ba2c3674a5049931243100	common_voice_zh-TW_37953117.mp3	五福建國路口東南側	2	0	thirties	male	出生地：新北市		zh-TW	
9c1fb100aa7d62e3224be37126c06fa989d9eabc51a69cb36b6cef32ef76602462092201e047a05380e958955b158612810f32b4a65e97e2b8fd2f2b31db1667	common_voice_zh-TW_37655391.mp3	台灣的一座拱橋	2	0	fifties	male			zh-TW	
9c1fb100aa7d62e3224be37126c06fa989d9eabc51a69cb36b6cef32ef76602462092201e047a05380e958955b158612810f32b4a65e97e2b8fd2f2b31db1667	common_voice_zh-TW_37746755.mp3	重陽橋聯絡線	2	0	fifties	male			zh-TW	
3838816818ff0d26d041129fe839ddd042cda0aec1be3dcca85b63f4ac46dc8ffae68e9fc052f7d40a0f8f3cdf04df13b56c073a213bd5691489054c8d0230c2	common_voice_zh-TW_37690733.mp3	看到華視新聞	2	0	twenties	female	出生地：新北市		zh-TW	
3838816818ff0d26d041129fe839ddd042cda0aec1be3dcca85b63f4ac46dc8ffae68e9fc052f7d40a0f8f3cdf04df13b56c073a213bd5691489054c8d0230c2	common_voice_zh-TW_37690764.mp3	我的長線投資成功祕訣	2	0	twenties	female	出生地：新北市		zh-TW	
3838816818ff0d26d041129fe839ddd042cda0aec1be3dcca85b63f4ac46dc8ffae68e9fc052f7d40a0f8f3cdf04df13b56c073a213bd5691489054c8d0230c2	common_voice_zh-TW_37691125.mp3	你可以跟孩子聊些什麼？	2	0	twenties	female	出生地：新北市		zh-TW	
4ea7141fee8b42555a6bb9c7447415234ba34ad60792a0fd3f6675d1455210cbba0fedd551718eb4b12b2591b122721cc9c48199ae8d78432ca7e34ba894d195	common_voice_zh-TW_37356087.mp3	精準學習	2	0	fifties	female	細柔		zh-TW	
4ea7141fee8b42555a6bb9c7447415234ba34ad60792a0fd3f6675d1455210cbba0fedd551718eb4b12b2591b122721cc9c48199ae8d78432ca7e34ba894d195	common_voice_zh-TW_37356092.mp3	你的電腦壞掉了	2	0	fifties	female	細柔		zh-TW	
4ea7141fee8b42555a6bb9c7447415234ba34ad60792a0fd3f6675d1455210cbba0fedd551718eb4b12b2591b122721cc9c48199ae8d78432ca7e34ba894d195	common_voice_zh-TW_37361955.mp3	電子發票加明細共兩張	2	0	fifties	female	細柔		zh-TW	
4ea7141fee8b42555a6bb9c7447415234ba34ad60792a0fd3f6675d1455210cbba0fedd551718eb4b12b2591b122721cc9c48199ae8d78432ca7e34ba894d195	common_voice_zh-TW_37440810.mp3	日月當空	2	0	fifties	female	細柔		zh-TW	
4ea7141fee8b42555a6bb9c7447415234ba34ad60792a0fd3f6675d1455210cbba0fedd551718eb4b12b2591b122721cc9c48199ae8d78432ca7e34ba894d195	common_voice_zh-TW_37440811.mp3	竹塹文學獎得獎作品集	2	0	fifties	female	細柔		zh-TW	
c8fdc4c1d947ca7d42ef91053e6a6f28245857742fee84e0e2ee4e28a6f2b06bec0745254bf8225a81629d1dde9de59c1eb11cdcbbef71ce96ce11b0cfe5e0a3	common_voice_zh-TW_37410658.mp3	從智人到神人	2	0	thirties	male	出生地：新北市		zh-TW	
c8fdc4c1d947ca7d42ef91053e6a6f28245857742fee84e0e2ee4e28a6f2b06bec0745254bf8225a81629d1dde9de59c1eb11cdcbbef71ce96ce11b0cfe5e0a3	common_voice_zh-TW_37410674.mp3	大夢想家如何創造驚奇的未來	2	0	thirties	male	出生地：新北市		zh-TW	
c8fdc4c1d947ca7d42ef91053e6a6f28245857742fee84e0e2ee4e28a6f2b06bec0745254bf8225a81629d1dde9de59c1eb11cdcbbef71ce96ce11b0cfe5e0a3	common_voice_zh-TW_37410676.mp3	莫斯科紳士	2	0	thirties	male	出生地：新北市		zh-TW	
c8fdc4c1d947ca7d42ef91053e6a6f28245857742fee84e0e2ee4e28a6f2b06bec0745254bf8225a81629d1dde9de59c1eb11cdcbbef71ce96ce11b0cfe5e0a3	common_voice_zh-TW_37410681.mp3	消失在暗夜中的巨人	2	0	thirties	male	出生地：新北市		zh-TW	
c8fdc4c1d947ca7d42ef91053e6a6f28245857742fee84e0e2ee4e28a6f2b06bec0745254bf8225a81629d1dde9de59c1eb11cdcbbef71ce96ce11b0cfe5e0a3	common_voice_zh-TW_37410686.mp3	最低的水果摘完之後	2	0	thirties	male	出生地：新北市		zh-TW	
e79af29f65e9a3ce1ba1134c9dbf37ded68fa814fb4a9b66d26f0935399861c3705a01a69d4901f19e8bfd34e3f8d4dfc87257f102b8b86ef7079c0fafbdbefd	common_voice_zh-TW_37711379.mp3	繪時尚	2	0			出生地：臺中市		zh-TW	
e79af29f65e9a3ce1ba1134c9dbf37ded68fa814fb4a9b66d26f0935399861c3705a01a69d4901f19e8bfd34e3f8d4dfc87257f102b8b86ef7079c0fafbdbefd	common_voice_zh-TW_37711454.mp3	人生幸福的行動指南	2	0	thirties	male	出生地：臺中市		zh-TW	
e79af29f65e9a3ce1ba1134c9dbf37ded68fa814fb4a9b66d26f0935399861c3705a01a69d4901f19e8bfd34e3f8d4dfc87257f102b8b86ef7079c0fafbdbefd	common_voice_zh-TW_37711512.mp3	耶魯人類學家	2	0	thirties	male	出生地：臺中市		zh-TW	
e79af29f65e9a3ce1ba1134c9dbf37ded68fa814fb4a9b66d26f0935399861c3705a01a69d4901f19e8bfd34e3f8d4dfc87257f102b8b86ef7079c0fafbdbefd	common_voice_zh-TW_37711561.mp3	我還是覺得桌機好	2	0	thirties	male	出生地：臺中市		zh-TW	
e79af29f65e9a3ce1ba1134c9dbf37ded68fa814fb4a9b66d26f0935399861c3705a01a69d4901f19e8bfd34e3f8d4dfc87257f102b8b86ef7079c0fafbdbefd	common_voice_zh-TW_37711590.mp3	逆轉老化	2	0	thirties	male	出生地：臺中市		zh-TW	
e79af29f65e9a3ce1ba1134c9dbf37ded68fa814fb4a9b66d26f0935399861c3705a01a69d4901f19e8bfd34e3f8d4dfc87257f102b8b86ef7079c0fafbdbefd	common_voice_zh-TW_37711659.mp3	判例國際公法	2	0	thirties	male	出生地：臺中市		zh-TW	
